"major_e3_class","n_e3_input","n_matched","n_reliable_constraint","n_flagged_or_missing","n_loeuf_lt_0_45","proportion_loeuf_lt_0_45","median_loeuf","median_missense_z","top_constrained_genes","loeuf_lt_0_45_ci_low","loeuf_lt_0_45_ci_high"
"RING",302,295,266,29,65,0.244360902255639,0.742705,1.26335,"MDM4; UHRF1; TRIM28; MSL2; RLIM; CNOT4; RNF220; TRIM39",0.196600763477858,0.299399589490994
"degenerate RING",31,31,29,2,8,0.275862068965517,0.67623,2.076,"PRPF19; PIAS1; ZMIZ1; PIAS4; UBR4; UBE4B; ZMIZ2; PIAS2",0.14698755102088,0.457171324168659
"HECT",28,28,28,0,14,0.5,0.45225,4.56505,"UBR5; HUWE1; UBE3A; TRIP12; HERC2; HECTD4; HECTD1; ITCH",0.326331274572935,0.673668725427065
"RBR",14,14,14,0,4,0.285714285714286,0.53286,2.6753,"ARIH1; ARIH2; CUL9; RNF31; ANKIB1; RNF144A; RNF19B; RNF19A",0.117213786445769,0.546490843298932
"CRL1",73,72,70,2,14,0.2,0.68536,1.21505,"KDM2A; FBXO11; FBXW7; KDM2B; FBXO42; FBXL20; FBXO45; FBXO5",0.12304739248363,0.308166444962531
"CRL2",34,34,33,1,7,0.212121212121212,0.87175,1.493,"ZSWIM6; ZSWIM8; NRBP1; ZER1; KLHDC3; APPBP2; FEM1B; ZSWIM5",0.106760215330208,0.377516449921507
"CRL3",98,97,92,5,12,0.130434782608696,0.78856,1.7688,"KLHL15; ZSWIM8; KLHL2; KBTBD6; KLHL29; KLHL10; KLHL3; SPOP",0.0762148037069704,0.214280136199793
"CRL4",49,49,47,2,17,0.361702127659574,0.59955,2.2201,"PAFAH1B1; BRWD3; WDR26; RBBP5; TBL1XR1; DCAF1; DCAF5; DCAF7",0.239662132457142,0.504641034652049
"CRL5",55,55,52,3,8,0.153846153846154,0.969955,0.50194,"TULP4; KLHDC3; ELOA; ASB7; LRRC41; SOCS6; WSB2; FEM1B",0.0800768501678032,0.275240851764101
"Atypical",16,16,16,0,6,0.375,0.61423,2.49055,"UBE2O; TNFAIP3; BIRC6; RANBP2; MYCBP2; EGR2; ZNFX1; ATG5",0.184812325588636,0.613589594544973
"APC/C",2,2,2,0,1,0.5,0.520585,3.50715,"FZR1; CDC20",0.0945312057342307,0.905468794265769
