"input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","match_status","gnomad_symbol_matches","match_method","match_note","matched_gnomad_symbol","ensembl_gene_id","transcript_id","duplicated_gene_assignment","quality_status","quality_flags"
1,"AMFR","267","Q9UKV5","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","AMFR","ENSG00000159461","ENST00000290649",FALSE,"pass","none"
2,"ARK2C","494470","Q6ZSG1","RING","RING","unmatched",0,"unmatched","No selected Ensembl protein-coding gnomAD v4.1.1 gene matched this E3 symbol.",,,,FALSE,,
3,"BARD1","580","Q99728","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BARD1","ENSG00000138376","ENST00000260947",FALSE,"pass","none"
4,"BFAR","51283","Q9NZS9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BFAR","ENSG00000103429","ENST00000261658",FALSE,"pass","none"
5,"BIRC2","329","Q13490","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BIRC2","ENSG00000110330","ENST00000227758",FALSE,"pass","none"
6,"BIRC3","330","Q13489","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BIRC3","ENSG00000023445","ENST00000263464",FALSE,"pass","none"
7,"BIRC7","79444","Q96CA5","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BIRC7","ENSG00000101197","ENST00000217169",FALSE,"pass","none"
8,"BIRC8","112401","Q96P09","RING","RING","unmatched",0,"unmatched","No selected Ensembl protein-coding gnomAD v4.1.1 gene matched this E3 symbol.",,,,FALSE,,
9,"BMI1","648","P35226","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BMI1","ENSG00000168283","ENST00000376663",FALSE,"pass","none"
10,"BRAP","8315","Q7Z569","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BRAP","ENSG00000089234","ENST00000419234",FALSE,"pass","none"
11,"BRCA1","672","P38398","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BRCA1","ENSG00000012048","ENST00000357654",FALSE,"pass","none"
12,"CBL","867","P22681","RING, Ubl E3","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBL","ENSG00000110395","ENST00000264033",FALSE,"pass","none"
