"loeuf_rank","input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","post_publication_update","match_status","match_method","match_note","gene","ensembl_gene_id","transcript_id","transcript_version","transcript_selection_method","chromosome","start_position","end_position","loeuf","pLI","plof_obs","plof_exp","plof_oe","missense_oe","missense_z","synonymous_oe","highly_lof_constrained","strong_missense_constraint","constraint_signal_pattern","quality_status","quality_flags","low_coverage_flag","poor_mappability_flag","gene_quality_metrics.exome_prop_bp_AN90","gene_quality_metrics.exome_mean_AS_MQ","gene_quality_metrics.exome_prop_segdup","gene_quality_metrics.exome_prop_LCR","gene_flags","constraint_flags"
1,441,"KDM2A",22992,"Q9Y2K7","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KDM2A","ENSG00000173120","ENST00000529006","ENST00000529006.7","MANE Select","chr11",67119263,67258082,0.056472,1,3,137.3,0.02185,0.48854,8.4782,0.94556,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0.016638,"[]","[]"
2,371,"UBR5",51366,"O95071","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBR5","ENSG00000104517","ENST00000520539","ENST00000520539.6","MANE Select","chr8",102252273,102412700,0.087977,1,21,343.73,0.061094,0.63404,9.1477,0.98702,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
3,361,"HUWE1",10075,"Q7Z6Z7","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","HUWE1","ENSG00000086758","ENST00000262854","ENST00000262854.11","MANE Select","chrX",53532096,53686719,0.089146,1,18,299.42,0.060117,0.52913,11.816,1.024,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.99924,59.999,0,0,"[]","[]"
4,326,"PRPF19",27339,"Q9UMS4","Degenerate RING (U-box)","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PRPF19","ENSG00000110107","ENST00000227524","ENST00000227524.9","MANE Select","chr11",60890547,60906585,0.098109,1,2,64.172,0.031166,0.48306,5.621,0.8981,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
5,57,"MDM4",4194,"O15151","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MDM4","ENSG00000198625","ENST00000367182","ENST00000367182.8","MANE Select","chr1",204516406,204558120,0.1046,1,2,60.188,0.033229,0.77403,2.316,1.0198,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
6,610,"PAFAH1B1",5048,"P43034","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PAFAH1B1","ENSG00000007168","ENST00000397195","ENST00000397195.10","MANE Select","chr17",2593654,2685615,0.10953,1,2,57.48,0.034795,0.50193,4.8067,0.89612,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.83,0,0,"[]","[]"
7,584,"BRWD3",254065,"Q6RI45","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BRWD3","ENSG00000165288","ENST00000373275","ENST00000373275.5","MANE Select","chrX",80669503,80809877,0.11329,1,10,149.72,0.066791,0.68453,4.9857,1.1036,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
8,620,"WDR26",80232,"Q9H7D7","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","WDR26","ENSG00000162923","ENST00000414423","ENST00000414423.9","MANE Select","chr1",224385146,224434797,0.12501,1,5,84.094,0.059457,0.65856,4.5467,1.0653,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.82348,59.989,0,0.054753,"[]","[]"
9,477,"ZSWIM6",57688,"Q9HCJ5","CRL2 substrate receptor (BC-CUL2-box)","CRL2","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZSWIM6","ENSG00000130449","ENST00000252744","ENST00000252744.6","MANE Select","chr5",61332258,61546172,0.13875,1,9,113.19,0.079512,0.74862,4.2239,1.0074,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.80137,59.974,0,0.066667,"[]","[]"
10,368,"UBE3A",7337,"Q05086","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBE3A","ENSG00000114062","ENST00000648336","ENST00000648336.2","MANE Select","chr15",25333728,25439024,0.14195,1,6,83.424,0.071922,0.44011,7.6862,0.94825,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.624,0.47668,0,"[]","[]"
11,367,"TRIP12",9320,"Q14669","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIP12","ENSG00000153827","ENST00000675903","ENST00000675903.1","MANE Select","chr2",229763837,229922009,0.14297,1,25,244.23,0.10236,0.67446,6.923,1.0365,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.99694,59.998,0,0,"[]","[]"
